Title*Time*Views*User*ID
5 THINGS YOU DIDN’T KNOW ABOUT EVERYDAY OBJECTS*4:52*28,897*pokemon*753592
Steven Universe - Video Chat (Short) (1080p HD)*2:10*290,053*LastWeekTonight*162906
Evolved Forms of the Starter Pokémon Revealed in Pokémon Sun and Pokémon Moon!*3:50*535,078*DisneyMovieTrailers*705644
Reagan Warned Us About Obama*4:39*15,616,392*TheYoungTurks*203586
From the Vault • Barack Obama • SEP 1995*56:43*3,343,783*wearethesundayblues*466436
Body Double- PROOF!*9:19*618,896*NBCNews*87226
Go Ahead, Make Her Day (Act 1, Part 2) | Full Frontal with Samantha Bee | TBS*5:43*859,316*latenight*313891
The Best Donald Trump video you will ever watch*11:49*858,643*DAVID16776*308087
Rookie Stephen Curry 1st Career TD 2010.02.10 vs Clippers - UNREAL 36 Pts, 13 Dimes, 10 Rebs!!!*6:24*909,874*abc15com*429933
Stephen Curry Plays NBA 2K17 &amp; Breaks LEBRON JAMES ANKLES PARODY GAMEPLAY (IF CURRY PLAYED NBA 2K17)*6:15*389,348*LateNightSeth*295772
11-Year-Old Kid Shows Off His Handles on Warriors Ground*2:19*8,446,928**400025
D.R.A.M. - Broccoli | Curry vs Spurs | 2015-16 NBA Season*3:28*602,779**897763
Steph and Ayesha Curry Play &#39;The Newlywed Game&#39; With Robin Roberts*8:27*225,902**803266
Stephen Curry Top 10 Plays of Career*4:29*5,745,753**350157
Stephen Curry vs. 7-year old boy (2015 Manila Under Armour tour)*3:34*10,566,296**594461
Steph Curry - Superb Separation (Don&#39;t Switch)*9:49*732,982**769179
Stephen Curry Fail Compilation*4:31*781,244**227586
Steph Curry&#39;s Daughter, Riley, Gets Playhouse of Her Dreams*2:05*411,170**725628
Stephen Curry gets schooled by a 12 years old Chinese girl 1on1*9:28*2,374,038**736929
Trae Young Has Steph Curry RANGE! Official Ballislife Mixtape!*3:42*280,319**166414
THE DAY JENNINGS MURDERED CURRY! STEPHEN CURRY FAIL COMPILATION REACTION!!*11:03*117,204**957580
Michael JORDAN vs Stephen CURRY&#39;s Dad Dell CURRY! (MJ 43 Points &amp; Game Winner) Bulls vs Hornets &#39;97*18:21*3,301,217**868154
Ayesha Curry on Steph Curry&#39;s Latte Flop*1:09*102,906**145650
99% OF AMERICA DIDN’T SEE TRUMP PUNK LESTER HOLT LAST NIGHT! WATCH THIS!*4:12*408,107**944740
The WORST Answer In Debate History*7:28*4,829,961**953097
Do You Wanna Build A Wall? - Donald Trump (Frozen Parody)*1:46*5,576,245**811455
The First Presidential Debate: Hillary Clinton And Donald Trump (Full Debate) | NBC News*1:38:58*11,133,273**677587
FULL: Donald Trump vs Hillary Clinton - First Presidential Debate 2016 - Hofstra University NY*1:36:42*4,932,021**449968
This Video Will Get Donald Trump Elected*27:51*7,399,832**373068
SNL mocks ‘full-blown nutjob’ Trump supporter hilariously attempting to defend candidate’s awfulness*5:02*2,219,074**681293
Obama Calls Donald Trump with Debate Advice*5:16*13,178,635**778378
Presidential Debate 9/26/16 Donald Trump vs Hillary Clinton  (   Full &amp; HD )*1:33:22*1,686,415**283471
Ultimate Donald Trump Thug Life Compilation | Funny videos 2016*9:26*1,312,388**208508
FULL: Fiery Presidential Debate - Donald Trump vs. Hillary Clinton*1:37:40*1,811,858**421836
A Closer Look: First Presidential Debate*11:42*2,738,997**923588
Neil Cavuto Just Busted MSM - Plays 2003 Trump Interview Where He Was Against War*1:45*693,093**151844
Trump victim: Alicia Machado | The Briefing*2:20*703,777**147304
